epoch,accuracy,loss,val_accuracy,val_loss
0,0.37199002504348755,1.3317195177078247,0.41786742210388184,1.2808921337127686
1,0.6432327628135681,0.9845494627952576,0.639769434928894,0.9118096232414246
2,0.7902020215988159,0.5777018666267395,0.6685879230499268,0.786345899105072
3,0.8508164882659912,0.41053980588912964,0.7089337110519409,0.7862235903739929
4,0.8843066692352295,0.31993356347084045,0.6945244669914246,0.8097488284111023
5,0.9100470542907715,0.25798529386520386,0.6887608170509338,0.8541764616966248
6,0.9327428936958313,0.21323198080062866,0.6916426420211792,0.8735571503639221
7,0.9410462379455566,0.18402554094791412,0.6974063515663147,0.9433029294013977
8,0.9526709318161011,0.15589450299739838,0.6974063515663147,0.965242862701416
9,0.9601439237594604,0.13308404386043549,0.6974063515663147,1.0087634325027466
10,0.9637420177459717,0.1197265014052391,0.7002881765365601,1.0735541582107544
11,0.9673401713371277,0.10755045711994171,0.6916426420211792,1.1129958629608154
12,0.9681705236434937,0.10322440415620804,0.680115282535553,1.2045978307724
13,0.9703847169876099,0.09967794269323349,0.6916426420211792,1.2150989770889282
14,0.9745364189147949,0.08710874617099762,0.6829971075057983,1.3016889095306396
15,0.9745364189147949,0.08133861422538757,0.6772334575653076,1.2604609727859497
16,0.975643515586853,0.07758674770593643,0.6974063515663147,1.3294377326965332
17,0.973429262638092,0.07632837444543839,0.6743515729904175,1.352129578590393
18,0.976473867893219,0.07871577888727188,0.6858789920806885,1.3508349657058716
19,0.976473867893219,0.07160719484090805,0.6829971075057983,1.3126299381256104
20,0.9761970639228821,0.07128341495990753,0.6772334575653076,1.3844581842422485
21,0.9773041605949402,0.06745973974466324,0.6772334575653076,1.4058631658554077
22,0.977027416229248,0.06522833555936813,0.6945244669914246,1.4535962343215942
23,0.9781345129013062,0.06100529059767723,0.6829971075057983,1.4493801593780518
24,0.9784113168716431,0.05849478021264076,0.6887608170509338,1.4708740711212158
